,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
207149,World,Cory Asbury,Reckless Love,0rH0mprtecH3grD9HFM5AD,76,4,0.0291,0.5720000000000001,333386,0.685,0.0,F#,0.0963,-7.29,Major,0.0356,110.698,4/4,0.23199999999999998
207150,World,Elevation Worship,O Come to the Altar (Live),1lEk3U3MzbDeL5MNHkE9JU,72,3,0.00274,0.256,349587,0.564,0.0,B,0.743,-6.496,Major,0.0366,139.914,3/4,0.152
207151,World,Hillsong UNITED,Oceans (Where Feet May Fail),5Mw9bXG1dLNhbjofkVS2oR,70,3,0.508,0.262,536000,0.361,0.00268,D,0.10800000000000001,-10.191,Major,0.0333,126.86,4/4,0.055999999999999994
207152,World,Hillsong UNITED,So Will I (100 Billion X),1ed3wNCecRIp6SugyR0w2J,69,3,0.0462,0.43200000000000005,411000,0.41600000000000004,2.01e-06,A,0.14400000000000002,-10.376,Major,0.0296,127.963,4/4,0.177
207153,World,Mosaic MSC,Tremble - Live,35GACeX8Zl55jp29xFbvvo,70,3,0.221,0.32899999999999996,309093,0.682,0.0,C,0.19,-6.374,Major,0.0526,148.029,4/4,0.162
207154,World,Hillsong Worship,What A Beautiful Name,4KLj9QjEhJl2WU50mxRF9Z,67,3,0.201,0.424,238200,0.506,0.0,D,0.11,-5.877000000000001,Major,0.0284,135.90200000000002,4/4,0.138
207155,World,Aphex Twin,Avril 14th,2MZSXhq4XDJWu6coGoXX1V,72,3,0.996,0.5579999999999999,125520,0.0259,0.871,G#,0.0969,-30.016,Major,0.0458,157.811,4/4,0.37
207156,World,Elevation Worship,Do It Again,3iOpiHDobxZO7S4p9Y2Fgu,70,3,0.0119,0.34700000000000003,398333,0.508,0.0,A#,0.595,-7.555,Major,0.0297,171.827,4/4,0.159
207157,World,for KING & COUNTRY,God Only Knows,4ElNxglBjcrASiGn58t9Jm,71,3,0.395,0.597,229760,0.41700000000000004,8.35e-06,D,0.128,-7.952000000000001,Major,0.0502,143.839,4/4,0.263
207158,World,Housefires,Build My Life,3BDpn2Vivr1BFhlGsYs5tp,68,3,0.371,0.303,491691,0.478,0.0,G,0.131,-7.851,Major,0.0352,139.795,4/4,0.11699999999999999
207159,World,Hillsong Worship,Who You Say I Am - Live,6nkJ6jerrO6S4V0kdc4KRp,65,3,0.000278,0.26899999999999996,329080,0.6659999999999999,0.0,F#,0.609,-6.047999999999999,Major,0.0362,171.722,3/4,0.226
207160,World,Steffany Gretzinger,King of My Heart (Live),7mj5fT0Biju5jR41m9ghUl,70,3,0.0113,0.43799999999999994,299366,0.529,0.0,A,0.109,-9.224,Major,0.0324,136.14700000000002,4/4,0.395
