,genre,artist_name,track_name,track_id,popularity,trendy,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
45631,Blues,The White Stripes,Seven Nation Army,7i6r9KotUPQg3ozKKgEPIN,72,3,0.00817,0.737,231733,0.46299999999999997,0.447,C,0.255,-7.827999999999999,Major,0.0792,123.881,4/4,0.324
45632,Blues,Lynyrd Skynyrd,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,80,4,0.18100000000000002,0.596,283800,0.605,0.000331,G,0.0863,-12.145,Major,0.0255,97.79799999999999,4/4,0.8859999999999999
45633,Blues,Cage The Elephant,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,72,3,0.0438,0.634,175493,0.8490000000000001,0.0,C,0.363,-7.075,Major,0.105,156.004,4/4,0.919
45634,Blues,Leon Bridges,River,0NeJjNlprGfZpeX2LQuN6c,71,3,0.6890000000000001,0.6579999999999999,238560,0.179,0.0,G#,0.17,-10.866,Major,0.0448,128.128,4/4,0.191
45635,Blues,Leon Bridges,Beyond,1Omt5bfz1tZUCqd26HxbS0,68,3,0.22899999999999998,0.58,240600,0.687,0.0,F#,0.109,-5.4,Major,0.106,76.014,4/4,0.187
45636,Blues,The Black Keys,Howlin' For You,0grFc6klR3hxoHLcgCYsF4,65,3,0.027999999999999997,0.705,191800,0.735,0.0783,B,0.11199999999999999,-6.646,Major,0.0931,132.627,4/4,0.44799999999999995
45637,Blues,Thin Lizzy,The Boys Are Back In Town,43DeSV93pJPT4lCZaWZ6b1,73,3,0.23399999999999999,0.445,266720,0.706,0.000252,G#,0.205,-9.802999999999999,Major,0.0461,80.82300000000001,4/4,0.768
45638,Blues,Cage The Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,68,3,0.0801,0.635,208760,0.675,0.0,D,0.0831,-3.445,Major,0.0263,113.946,4/4,0.273
45639,Blues,Jimi Hendrix,All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,74,3,0.00255,0.43799999999999994,240800,0.805,5.6899999999999994e-05,G#,0.0842,-6.237,Major,0.0624,113.25299999999999,4/4,0.564
45640,Blues,Etta James,At Last,4Hhv2vrOTy89HFRcjU3QOx,70,3,0.7070000000000001,0.171,182400,0.33,0.00381,F,0.302,-9.699,Major,0.0329,174.43099999999998,3/4,0.315
45641,Blues,Eric Clapton,Cocaine,3ykSdTGmYPFl8pDBXer1zG,66,3,0.0607,0.6990000000000001,221640,0.502,0.0337,A,0.317,-12.526,Major,0.0278,105.266,4/4,0.6759999999999999
45642,Blues,Lynyrd Skynyrd,Free Bird,5EWPGh7jbTNO2wakv8LjUI,69,3,0.0765,0.252,547107,0.8440000000000001,0.00018,C,0.084,-8.121,Major,0.0572,118.15799999999999,4/4,0.35100000000000003
45643,Blues,The Black Keys,Walk Across The Water,5AEyKKiz6YPTLR7EDFLqMS,68,3,0.32899999999999996,0.418,235842,0.583,0.769,A,0.23800000000000002,-7.296,Major,0.0257,79.594,4/4,0.327
45644,Blues,Santana,Smooth (feat. Rob Thomas),0n2SEXB2qoRQg171q7XqeW,69,3,0.16,0.609,294987,0.9229999999999999,4.73e-06,A,0.295,-3.908,Major,0.0338,115.99600000000001,4/4,0.961
45645,Blues,Blue Öyster Cult,(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo,72,3,0.0029,0.33299999999999996,308120,0.927,0.00021099999999999998,A,0.297,-8.55,Minor,0.0733,141.47,4/4,0.382
45646,Blues,Lynyrd Skynyrd,Simple Man,1ju7EsSGvRybSNEsRvc7qY,68,3,0.0465,0.43,356627,0.767,0.00011200000000000001,F#,0.142,-8.561,Major,0.042,120.353,4/4,0.409
